id_feu,unidad_regional,siniestro_fecha,siniestro_hora,provincia,id_provincia,departamento,id_departamento,localidad,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,entre_calle_2,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_multiple,tipo_siniestro_unico,despiste_previo,tipo_siniestro_otro,tipo_colision,cantidad_de_involucrados,trazado_via,configuracion_de_la_via,configuracion_de_la_via_otro_tipo,pendiente_declive,cono_de_vision,material_de_la_calzada,material_de_la_calzada_otro,estado_de_la_calzada,estado_fisico_ambiental,estado_de_conservacion_otro,division_fisica_de_la_via,division_fisica_de_la_via_otro,barreras_de_seguridad,banquinas,senalizacion_carteleria,senalizacion_horizontal,senalizacion_transitoria,luminosidad,luz_artificial,transito_restringido,estado_ambiental,visibilidad,visibilidad_otro,semaforo
232244,OBSERVATORIO VIAL,2024-05-28,21:40:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,MAIPU,3800,GUAYQUIRARO,,-2.751.370,-5.880.736,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Recta,,,,Asfalto,,Apto,,,,,,,S/D,S/D,S/D,Noche,,,S/D,,,
217484,OBSERVATORIO VIAL,2024-05-21,22:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV PEDRO FERRE,2950,BANDA CENTRAL SUR,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Cantero central,,Ninguna,,Si,Si,No,Noche,NO,,,,,Funciona
224095,OBSERVATORIO VIAL,2024-05-19,12:15:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,FRANCIA,1200,ESTADO DE ISRAEL,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,No,No,No,Día,,,Despejado,,,Sin Semáforo
217516,OBSERVATORIO VIAL,2024-05-19,7:05:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV MAIPU,200,GRAL PAZ,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Otro,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Funciona
229164,OBSERVATORIO VIAL,2024-05-18,13:25:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV ARTIGAS,1100,BOLIVAR,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Lateral,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Día,,,Despejado,,,Sin Semáforo
233471,OBSERVATORIO VIAL,2024-05-18,7:10:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV FERRE,1800,JUJUY,,-2.747.657,-5.882.877,2,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Angulo,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,,,Ninguna,,Asfalto,,Si,S/D,S/D,Noche,NO,,Nublado,,,Funciona
220441,OBSERVATORIO VIAL,2024-05-14,10:40:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,IBERÁ,1100,AV IV CENTENARIO,,,,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,No,No,Día,,,Despejado,,,Sin Semáforo
229163,OBSERVATORIO VIAL,2024-05-12,22:40:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,MARIANO MORENO,1353,CATAMARCA,CORDOBA,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Mitad de la calle / avenida,,,,Asfalto,,Apto,Mojada,,Ninguna,,,,Si,Si,No,Noche,NO,,Lluvia,,,Funciona
233742,OBSERVATORIO VIAL,2024-05-12,8:40:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,BUENOS AIRES,1080,JUJUY E IRIGOYEN.,,-2.746.898,-5.884.063,0,1,0,1,0,Caída desde vehículo,Caída desde vehículo,,,,1,,Recta,,,,Asfalto,,Apto,S/D FisicoAmbiental,,Otro,,Asfalto,,Si,S/D,S/D,Día,,,Despejado,,,Sin Semáforo
233576,OBSERVATORIO VIAL,2024-05-11,12:05:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Avenida,AV LIBERTAD,5200,LA PRIDA,,-2.746.608,-5.878.697,1,1,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Frontal,2,,Intersección / cruce,,,S/D,Asfalto,,Apto,Seca,,S/D,,Asfalto,,Si,S/D,S/D,Día,,,Despejado,,,Funciona
231250,OBSERVATORIO VIAL,2024-05-11,8:00:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,SUIZA,3200,CORNELIO SAAVEDRA,,-2.747.596,-5.881.167,1,2,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Angulo,2,,Otro,,,,Asfalto,,Apto,Seca,,Ninguna,,Asfalto,,Si,Si,,Día,,,Despejado,,,Sin Semáforo
217485,OBSERVATORIO VIAL,2024-05-11,19:40:00,CORRIENTES,18,CAPITAL,21,CORRIENTES,Urbana,Calle,HIPOLITO YRIGOYEN,1600,ESPAÑA,,,,2,0,0,2,0,Colisión entre vehículos,Colisión entre vehículos,,,Alcance,2,,Intersección / cruce,,,No obstruido,Asfalto,,Apto,Seca,,Ninguna,,Ninguna,,Si,Si,No,Día,,,Nublado,,,Funciona
